Station,Year,Month,High temp,Low temp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Barisal,1999,4,35.1,24.9,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barisal,1999,5,32.9,25,0,0,0,0,0,0,23,0,20,1,0,31,0,25,16,7,14,6,12,0,0,4,0,0,2,0,24,1,8,18,0
Barisal,1999,6,32.2,25.4,0,0,49,0,0,0,0,0,0,28,15,4,2,0,0,5,1,1,7,13,6,2,30,38,19,1,0,17,21,1,
Barisal,1999,7,30.9,25.1,12,95,8,2,0,4,28,0,10,6,54,51,14,37,0,4,0,8,36,27,23,22,11,0,4,0,3,8,43,17,0
Barisal,1999,8,30.8,25.4,0,0,52,20,0,17,9,14,24,46,0,0,43,26,28,32,5,5,0,2,2,0,0,0,0,0,10,24,3,18,24
Barisal,1999,9,31.1,25.2,20,4,1,3,0,0,0,0,0,3,25,37,12,13,32,6,0,0,4,1,1,63,20,27,0,0,0,29,0,0,
Barisal,1999,10,31.6,24.1,0,10,0,0,1,3,17,0,13,12,0,0,0,3,6,0,7,52,38,41,6,11,3,0,0,0,0,0,0,3,2
Barisal,1999,11,30.7,18.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barisal,1999,12,27.9,13.9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,2000,1,26.4,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
Barisal,2000,2,26.9,14.3,0,0,1,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,,
Barisal,2000,3,32.2,19.8,0,0,0,0,0,0,0,0,27,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,2000,4,33.6,23.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,32,0,0,1,7,0,0,36,8,12,0,0,15,
