Station,Year,Month,High temp,Low temp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Month_Total
Chittagong,1995,8,31.7,25.9,1,14,6,31,2,1,0,0,0,1,3,18,247,116,3,2,1,5,0,28,35,0,0,1,25,3,0,0,3,0,0,546
Chittagong,1995,9,31.9,25.9,0,0,6,43,3,23,9,0,1,5,0,0,0,0,0,0,0,12,0,0,0,0,12,5,3,6,0,1,0,0,,129
Chittagong,1995,10,32.6,25.1,0,0,0,1,0,4,6,7,16,0,0,0,6,0,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,2,53
Chittagong,1995,11,29.2,21.8,9,113,1,2,0,0,0,0,2,2,88,16,0,0,0,0,0,0,18,6,0,0,0,0,18,48,0,0,0,0,,323
Chittagong,1995,12,27.3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chuadanga,1995,1,23.7,9.8,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15
chuadanga,1995,2,27.7,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,,,,36
chuadanga,1995,3,33.2,17.7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
chuadanga,1995,4,39.1,23.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
chuadanga,1995,5,37.6,26.9,0,0,0,0,0,0,0,0,11,0,0,2,0,1,24,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
chuadanga,1995,6,33.9,26.6,0,0,0,0,11,18,0,1,4,0,1,0,0,0,0,0,0,49,6,86,94,0,1,4,1,10,0,0,0,17,,303
chuadanga,1995,7,32.1,25.9,0,0,21,41,12,18,0,3,1,22,15,0,0,18,15,3,0,10,2,4,0,9,8,17,4,3,18,1,1,0,0,246
chuadanga,1995,8,32.7,26.2,0,18,0,40,1,23,1,0,3,0,0,0,55,14,0,12,0,4,1,37,1,2,53,34,0,0,0,0,0,1,0,300
chuadanga,1995,9,32.5,26,0,21,37,6,27,35,6,4,0,0,0,52,0,0,7,18,5,8,5,6,0,0,0,0,38,21,49,19,28,64,,456
chuadanga,1995,10,32.6,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chuadanga,1995,11,28.8,18.4,0,0,0,0,0,0,0,0,1,68,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,,75
chuadanga,1995,12,26.1,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,7
Comilla,1995,1,24.9,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comilla,1995,2,27.2,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,11,0,0,0,0,,,,29
Comilla,1995,3,31.8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
Comilla,1995,4,33.4,22.4,1,0,2,0,0,0,0,67,0,0,0,12,23,0,0,2,0,0,0,0,6,0,0,0,0,0,0,1,0,0,,114
